origin,sugar,metabolism,caring capacity,vision,lifespan,pollution rate,age,fitness,x,y
25.0,3.281652668931283,1.0,27.0,4.0,49.0,0.0,23.0,0.0,6.0,28.0
370.0,3.023547884356451,1.0,27.0,5.0,41.0,0.0,16.0,0.0,42.0,28.0
198.0,8.85169559116711,1.0,27.0,5.0,37.0,0.0,7.0,0.0,36.0,1.0
370.0,10.829251654283116,1.0,43.0,5.0,41.0,0.0,5.0,0.0,43.0,28.0
370.0,11.393958360213853,1.0,27.0,5.0,41.0,0.0,22.0,0.0,24.0,30.0
370.0,5.666908345559265,1.0,35.0,5.0,41.0,0.0,41.0,0.0,9.0,27.0
234.0,18.0,1.0,27.0,4.0,43.0,0.0,2.0,0.0,30.0,11.0
370.0,5.523877768928445,1.0,25.0,5.0,41.0,0.0,27.0,0.0,21.0,12.0
370.0,4.180738478981488,1.0,28.0,5.0,41.0,0.0,24.0,0.0,49.0,29.0
370.0,9.883724734101618,1.0,27.0,5.0,41.0,0.0,17.0,0.0,25.0,17.0
268.0,7.635121842356504,1.0,27.0,5.0,27.0,0.0,17.0,0.0,29.0,33.0
370.0,2.1427435712015024,1.0,28.0,5.0,41.0,0.0,3.0,0.0,37.0,0.0
76.0,0.07392912149538322,1.0,35.0,5.0,49.0,0.0,7.0,0.0,7.0,16.0
370.0,16.1179401218205,1.0,52.0,5.0,41.0,0.0,11.0,0.0,7.0,28.0
178.0,6.027550934926653,1.0,52.0,5.0,25.0,0.0,25.0,0.0,7.0,17.0
370.0,2.6980004054089877,1.0,27.0,5.0,41.0,0.0,17.0,0.0,31.0,19.0
355.0,7.034446678907955,1.0,21.0,5.0,21.0,0.0,1.0,0.0,44.0,28.0
370.0,14.724006390865732,1.0,28.0,5.0,41.0,0.0,7.0,0.0,27.0,20.0
76.0,8.821926204698332,1.0,35.0,5.0,49.0,0.0,17.0,0.0,33.0,3.0
370.0,14.881081024821633,1.0,27.0,5.0,41.0,0.0,11.0,0.0,38.0,29.0
370.0,15.140777252445552,1.0,43.0,5.0,41.0,0.0,5.0,0.0,48.0,29.0
198.0,0.9535569607633427,1.0,27.0,5.0,37.0,0.0,19.0,0.0,0.0,47.0
355.0,11.525175336897155,1.0,50.0,5.0,21.0,0.0,5.0,0.0,41.0,49.0
198.0,13.038584279586953,1.0,27.0,5.0,37.0,0.0,21.0,0.0,7.0,10.0
76.0,12.7924665071052,1.0,21.0,5.0,49.0,0.0,13.0,0.0,3.0,29.0
25.0,14.0,1.0,28.0,4.0,49.0,0.0,3.0,0.0,35.0,13.0
370.0,15.22076604078785,1.0,35.0,5.0,41.0,0.0,4.0,0.0,10.0,47.0
76.0,9.194041647940724,1.0,21.0,5.0,49.0,0.0,8.0,0.0,35.0,2.0
